id,reference,tier,machine_uid,machine_model,controller,setting,process,dataset,doi,host,license,license_flag,native_signals,canonical_channels,new_channels,actions,regime,sampling_hz,timestamps_real,usable_hours,windows_1hz,windows_10hz,independent_units,outcomes,format,size_gb,leakage_vs_v1_datasets,lv_overlap,lv_actions,lv_regime,lv_windows,lv_units,lv_outcomes,lv_licence,lv_provenance,lv_integration,role_fit,score_S,score_T,score_A,score_P,evidence,confidence,verified_on,note
"R00a","Martinez et al. 2025","ref","THWS-SpinnerU5-620","Spinner U5-620 (5-axis, lab)","Siemens 840D sl","lab","milling","THWS five-axis production data set (V1 source)","10.5281/zenodo.14094887","Zenodo","CC BY 4.0","green","17 canonical sensors + 4 actions at 1 Hz (docs/data.md)","17","-","direct (spindle speed, X/Y/Z feed)","production-like changeover matrix","1","yes","8.3 (29,785 s)","26,879 windows","n/a","62 sessions","phase labels","CSV","0.08","V1 source","3","3","1","3","3","1","3","3","3","V1 source","","","","","S01 S02 S03","repo","2026-09-16","Reference. The DataCite record states a Siemens 840D-SL controller in a lab setting."
"R00b","Brillinger et al. 2025","ref","JOANNEUM-SpinnerU5-630","Spinner U5-630 (5-axis)","Siemens 840D sl v4.8 + Simatic IPC227E edge","lab","milling","FH JOANNEUM CNC machining data repository (V1 target)","10.17632/gtvvwmz7r7.2","Mendeley Data","CC BY 4.0","green","DES_POS, TORQUE, LOAD, ENC_POS, CMD_SPEED, CURRENT, POWER per axis (7 axes)","10","load %, positions","direct (CMD_SPEED)","mixed parts/materials","500 (2 ms, per publisher)","cycle counter","n.d.","2,457 windows","n.d.","7 runs","energy","CSV (zip)","0.19","V1 target, read twice: no longer sealed","3","3","2","2","2","2","3","3","3","V1 target","","","","","S01 S02 S04","repo","2026-09-16","Reference. The publisher documents 2 ms sampling on an IPC227E, which supports etl.ds03_ipo_seconds = 0.002 in writing (still not measured)."
"R01","Ströbel et al. 2025a","1","KIT-DMC60H","Deckel Maho DMC 60 H (3-axis horizontal, retrofitted)","Siemens SINUMERIK 840D + SINUMERIK Edge","lab (industrial parts)","milling","KIT Multimodal Dataset 1 (process monitoring / anomalies)","10.35097/hvvwn1kfwf7qt48z","KIT RADAR","CC BY 4.0","green","ENC_POS, DES_POS, CTRL_POS, TORQUE_FFW, TORQUE (target), CMD_SPEED, VEL_FFW, CURRENT, POWER, LOAD for X/Y/Z/S at 500 Hz; force + acceleration at 10 kHz","10","load %, positions, feed-forward","direct (CMD_SPEED per axis and spindle)","varied parts, tools, strategies, depths and widths of cut; 3 materials","500","yes","≈6","many (runs 99-1,191 s)","many","32 experiments (paper) / 33 (repository)","8 anomaly types incl. tool wear, chatter","JSON, MAT, CSV, NC, STEP (tar)","44.6","unseen machine; same KIT lab as Ströbel et al. (2025b)-Schlagenhauf et al. (2023)","3","3","2","3","3","2","3","3","1","S T A?","2.80","3.00","2.65","2.50","S05 S06","repository + paper","2026-09-16","Same SINUMERIK Edge addresses as the JOANNEUM target (CURRENT, TORQUE, POWER, CMD_SPEED), so its ingestion path is reusable. TORQUE is the drive target torque. Download sits behind the RADAR terms of use."
"R02","Ströbel et al. 2025b","1","KIT-CMX600V","DMG Mori CMX 600 V (3-axis vertical)","Siemens SINUMERIK 840D + SINUMERIK Edge","lab (industrial parts)","milling","KIT Multimodal Dataset 2","10.35097/vnnu3n9z7ndsnhfd","KIT RADAR","CC BY 4.0","green","SINUMERIK Edge ""Analyse MyWorkpiece/Capture"" export at 500 Hz (same app as Ströbel et al. (2025a); per-signal list not re-verified); force (Kistler Z 3393) + spindle acceleration at 10 kHz","10","load %, positions","direct (CMD_SPEED, same app as Ströbel et al. (2025a))","industrial components, tools and strategies; 3 materials","500","yes","n.d.","n.d. (likely many)","n.d.","54 experiments","labelled pictures","JSON, MAT, NC, images (tar)","55.2","unseen machine; never analysed by the team","3","3","2","1","3","2","3","2","1","S? T? A?","2.30","2.70","2.45","2.50","S07 S06","repository (signal list inferred from Ströbel et al. (2025a))","2026-09-16","Best sealed-target candidate: 54 runs, same channel semantics as the JOANNEUM target, CC BY. The per-run duration must be read from the documentation before sealing."
"R03","Ströbel et al. 2023a","1","KIT-CMX600V","DMG Mori CMX 600 V","Siemens Industrial Edge (SINUMERIK)","lab","milling","KIT training and validation dataset 1 (time-series prediction)","10.35097/1462","KIT RADAR","CC BY-NC-ND 4.0","amber","Industrial Edge controller signals at 500 Hz (list n.d. in record)","0","n.d.","n.d. (NC-driven)","train part + validation part, steel and aluminium, with/without workpiece (aircut)","500","yes","n.d.","n.d.","n.d.","several recordings (n.d.)","none","tar","0.79","same machine as Ströbel et al. (2025b)","1","1","2","1","1","0","1","2","2","—","1.20","1.10","1.35","0.80","S08","repository","2026-09-16","Aircut vs cut recordings isolate the process load from the machine dynamics. The ND clause forbids sharing adapted data."
"R04","Ströbel et al. 2023b","1","KIT-DMC60H","Deckel Maho DMC 60 H","Siemens Industrial Edge (retrofit)","lab","milling","KIT training and validation dataset 2 (same series as dataset 1)","10.35097/1738","KIT RADAR","CC BY-NC 4.0","amber","Industrial Edge controller signals at 500 Hz (list n.d. in record)","0","n.d.","n.d. (NC-driven)","same experimental series as Ströbel et al. (2023a), built for cross-machine transfer","500","yes","n.d.","n.d.","n.d.","several recordings (n.d.)","none","tar","0.58","same machine as Ströbel et al. (2025a)","1","1","2","1","1","0","1","2","2","—","1.20","1.10","1.35","0.80","S09","repository","2026-09-16","Ströbel et al. (2023a, 2023b) form a matched cross-machine pair: identical NC programs on two machines, which is exactly a machine-shift control."
"R05","Ströbel et al. 2024","1","KIT-CMX600V+DMC60H","CMX 600 V and DMC 60 H","Siemens Industrial Edge","lab","milling","KIT training and validation dataset 3 (standardised CSV + simulated inputs)","10.35097/fefwiljideoropmh","KIT RADAR","CC BY-NC-ND 4.0","amber","controller signals at 500 Hz + simulated input signals (forces scaled by machine coefficients)","0","simulated forces","n.d.","training part and validation part, steel and aluminium, aircut","500","yes","n.d.","n.d.","n.d.","n.d.","none","CSV (tar)","0.12","derived from Ströbel et al. (2023a)/Ströbel et al. (2023b) (duplicate machines)","1","1","2","1","1","0","1","2","3","—","1.30","1.10","1.35","0.80","S10","repository","2026-09-16","Processed derivative of Ströbel et al. (2023a)/Ströbel et al. (2023b). Useful as a documented CSV template, not as new machines."
"R06","Ströbel et al. 2025c","1","KIT-DMC60H","Deckel Maho DMC 60 H (retrofitted, Kistler 9255C)","Siemens Industrial Edge","lab","milling","KIT part series dataset (time-series prediction)","10.35097/ctvuj6dgzepzmk0g","KIT RADAR","CC BY-NC-ND 4.0","amber","controller signals at 500 Hz (JSON) + forces at 10 kHz (MAT)","0","n.d.","NC codes document the varied setpoints","designed variations of depth of cut, feed rate and spindle speed on 3 geometries x 2 materials","500","yes","n.d.","n.d.","n.d.","n.d. (3 geometries x 2 materials x variations)","none","JSON, MAT (tar)","1.1","same machine as Ströbel et al. (2025a)","1","2","2","1","1","0","1","2","2","—","1.40","1.30","1.60","1.05","S11","repository","2026-09-16","Designed speed, feed and depth variations on the controller stream: an action bench, but NC-ND. The number of levels is not documented in the record."
"R07","Schlagenhauf et al. 2023","1","KIT-16MnCr5-machine","n.d. (KIT wbk milling machine)","n.d. (JSON export at 500 Hz)","lab","milling","Multivariate time series of milling 16MnCr5 (anomaly detection)","10.35097/1398","KIT RADAR","CC BY 4.0","green","controller time series at 500 Hz (JSON); names n.d. in record","0","n.d.","feed 191 vs 1,150 mm/min by tool type (metadata)","7 runs, 2 tool diameters, HSS vs solid carbide, fixed 3 mm depth","500","yes","n.d.","n.d.","n.d.","7 runs (11 zip files)","workpiece anomalies, tool breakage","JSON (zip)","0.22","machine n.d.; may duplicate Ströbel et al. (2025a) or Ströbel et al. (2025b)","1","1","1","1","1","2","3","2","2","—","1.40","1.30","1.30","1.55","S12","repository","2026-09-16","Machine identity must be read from the MDPI Data 7(12):175 paper before any use (dedup risk)."
"R08","Denkena et al. 2023 · M1","1","LUH-M1-Milltap700","DMG Mori Milltap 700 (ball screws)","Siemens Sinumerik 840D sl","lab","milling (shoulder)","LUH IFW milling with varying tool wear and machine tools (M1)","10.17632/zpxs87bjt8.3","Mendeley Data","CC BY 4.0","green","torque_spindle, torque_axis x/y/z, tool_position x/y/z, position_control_deviation x/y/z at 500 Hz; dynamometer forces at 25 kHz","4","positions, following error","feed derivable from tool_position; commanded speed/feed not included","identical parameters on all machines (ap = 2 mm); tool wear varies","500","yes","n.d.","n.d. (one operation per file)","n.d.","9 tools over M1-M3 (split n.d.); ≈2,147 files on M1 (paper summary)","flank wear VB (interpolated between measurements)","HDF5","≈10 (6,418 files × ≈1.6 MB; API listing capped at 1,000)","unseen machine","2","2","0","1","1","3","3","3","2","S? P","2.00","1.85","1.35","2.00","S13 S14","repository + paper","2026-09-16","The only public set with the same process on three machines, a clean machine-shift test. No action diversity."
"R09","Denkena et al. 2023 · M2","1","LUH-M2-HSC30linear","DMG Mori HSC 30 linear (direct drives)","Siemens Sinumerik 840D sl","lab","milling (shoulder)","LUH IFW milling dataset (M2)","10.17632/zpxs87bjt8.3","Mendeley Data","CC BY 4.0","green","torque_spindle, force_axis x/y/z (linear motors), tool_position, position_control_deviation at 500 Hz","1","axis force (N), positions","feed derivable from tool_position","identical parameters; tool wear varies","500","yes","n.d.","n.d.","n.d.","9 tools over M1-M3 (split n.d.); ≈2,136 files on M2","flank wear VB","HDF5","see Denkena et al. (2023, M1)","unseen machine","1","2","0","1","1","3","3","3","2","S? P","1.70","1.60","1.20","2.00","S13 S14","repository + paper","2026-09-16","Linear direct drives report force, not torque: this is a new channel under the no-substitution rule."
"R10","Denkena et al. 2023 · M3","1","LUH-M3-HSC55linear","DMG Mori HSC 55 linear (direct drives)","Heidenhain iTNC 530","lab","milling (shoulder)","LUH IFW milling dataset (M3)","10.17632/zpxs87bjt8.3","Mendeley Data","CC BY 4.0","green","torque_spindle, force_axis x/y/z, tool_position, position_control_deviation at 500 Hz","1","axis force (N), positions","feed derivable from tool_position","identical parameters; tool wear varies","500","yes","n.d.","n.d.","n.d.","9 tools over M1-M3 (split n.d.); ≈2,135 files on M3","flank wear VB","HDF5","see Denkena et al. (2023, M1)","unseen machine; different controller brand","1","2","0","1","1","3","3","3","2","S? P","1.70","1.60","1.20","2.00","S13 S14","repository + paper","2026-09-16","Heidenhain controller: the only verified cross-controller pair with an identical process (M2 vs M3)."
