layer,api,query_id,query,hits_total,returned,date,note
"L1","datacite","q01","(CNC OR ""machine tool"" OR milling OR turning OR lathe) AND (spindle OR Sinumerik OR MTConnect OR Fanuc OR Heidenhain)","136","136","2026-09-16",""
"L1","zenodo","q01","(CNC OR ""machine tool"" OR milling OR turning OR lathe) AND (spindle OR Sinumerik OR MTConnect OR Fanuc OR Heidenhain)","ERR","0","2026-09-16",""
"L1","figshare","q01","CNC machine tool milling turning lathe spindle Sinumerik MTConnect Fanuc Heidenhain","n/a","0","2026-09-16",""
"L1","openaire","q01","(CNC OR ""machine tool"" OR milling OR turning OR lathe) AND (spindle OR Sinumerik OR MTConnect OR Fanuc OR Heidenhain)","ERR","0","2026-09-16",""
"L1","datacite","q02","(""machine tool"" OR CNC OR milling OR machining) AND (""motor current"" OR ""drive current"" OR torque OR ""spindle power"" OR ""spindle load"")","66","66","2026-09-16",""
"L1","zenodo","q02","(""machine tool"" OR CNC OR milling OR machining) AND (""motor current"" OR ""drive current"" OR torque OR ""spindle power"" OR ""spindle load"")","ERR","0","2026-09-16",""
"L1","figshare","q02","machine tool CNC milling machining motor current drive current torque spindle power spindle load","n/a","0","2026-09-16",""
"L1","openaire","q02","(""machine tool"" OR CNC OR milling OR machining) AND (""motor current"" OR ""drive current"" OR torque OR ""spindle power"" OR ""spindle load"")","ERR","0","2026-09-16",""
"L1","datacite","q03","Werkzeugmaschine OR Fräsprozess OR Zerspanung OR Drehmaschine","11","11","2026-09-16",""
"L1","zenodo","q03","Werkzeugmaschine OR Fräsprozess OR Zerspanung OR Drehmaschine","ERR","0","2026-09-16",""
"L1","figshare","q03","Werkzeugmaschine Fräsprozess Zerspanung Drehmaschine","n/a","0","2026-09-16",""
"L1","openaire","q03","Werkzeugmaschine OR Fräsprozess OR Zerspanung OR Drehmaschine","4","4","2026-09-16",""
"L1","datacite","q04","(""feed drive"" OR ""ball screw"" OR ""feed axis"" OR ""servo drive"") AND (current OR torque OR position)","16","16","2026-09-16",""
"L1","zenodo","q04","(""feed drive"" OR ""ball screw"" OR ""feed axis"" OR ""servo drive"") AND (current OR torque OR position)","ERR","0","2026-09-16",""
"L1","figshare","q04","feed drive ball screw feed axis servo drive current torque position","n/a","0","2026-09-16",""
"L1","openaire","q04","(""feed drive"" OR ""ball screw"" OR ""feed axis"" OR ""servo drive"") AND (current OR torque OR position)","ERR","0","2026-09-16",""
"L1","datacite","q05","(""tool wear"" OR ""tool condition"" OR ""tool life"") AND (milling OR turning OR drilling) AND (current OR power OR controller OR signals)","28","28","2026-09-16",""
"L1","zenodo","q05","(""tool wear"" OR ""tool condition"" OR ""tool life"") AND (milling OR turning OR drilling) AND (current OR power OR controller OR signals)","ERR","0","2026-09-16",""
"L1","figshare","q05","tool wear tool condition tool life milling turning drilling current power controller signals","n/a","0","2026-09-16",""
"L1","openaire","q05","(""tool wear"" OR ""tool condition"" OR ""tool life"") AND (milling OR turning OR drilling) AND (current OR power OR controller OR signals)","ERR","0","2026-09-16",""
"L1","datacite","q06","(CNC OR ""machine tool"") AND (""OPC UA"" OR ""NC data"" OR ""controller data"" OR ""edge device"" OR ""high-frequency"")","33","33","2026-09-16",""
"L1","zenodo","q06","(CNC OR ""machine tool"") AND (""OPC UA"" OR ""NC data"" OR ""controller data"" OR ""edge device"" OR ""high-frequency"")","ERR","0","2026-09-16",""
"L1","figshare","q06","CNC machine tool OPC UA NC data controller data edge device high-frequency","n/a","0","2026-09-16",""
"L1","openaire","q06","(CNC OR ""machine tool"") AND (""OPC UA"" OR ""NC data"" OR ""controller data"" OR ""edge device"" OR ""high-frequency"")","ERR","0","2026-09-16",""
"L1","datacite","q07","usinage OR ""machine-outil"" OR fraisage OR tournage","22","22","2026-09-16",""
"L1","zenodo","q07","usinage OR ""machine-outil"" OR fraisage OR tournage","ERR","0","2026-09-16",""
"L1","figshare","q07","usinage machine-outil fraisage tournage","n/a","0","2026-09-16",""
"L1","openaire","q07","usinage OR ""machine-outil"" OR fraisage OR tournage","12","12","2026-09-16",""
"L1","datacite","q08","(""energy consumption"" OR ""power consumption"") AND (CNC OR ""machine tool"" OR machining OR milling)","86","86","2026-09-16",""
"L1","zenodo","q08","(""energy consumption"" OR ""power consumption"") AND (CNC OR ""machine tool"" OR machining OR milling)","ERR","0","2026-09-16",""
"L1","figshare","q08","energy consumption power consumption CNC machine tool machining milling","n/a","0","2026-09-16",""
"L1","openaire","q08","(""energy consumption"" OR ""power consumption"") AND (CNC OR ""machine tool"" OR machining OR milling)","ERR","0","2026-09-16",""
"L1","datacite","q09","(chatter OR ""process monitoring"" OR ""anomaly detection"") AND (milling OR CNC OR turning)","68","68","2026-09-16",""
"L1","zenodo","q09","(chatter OR ""process monitoring"" OR ""anomaly detection"") AND (milling OR CNC OR turning)","ERR","0","2026-09-16",""
"L1","figshare","q09","chatter process monitoring anomaly detection milling CNC turning","n/a","0","2026-09-16",""
"L1","openaire","q09","(chatter OR ""process monitoring"" OR ""anomaly detection"") AND (milling OR CNC OR turning)","ERR","0","2026-09-16",""
"L1","datacite","q10","(drilling OR grinding OR ""additive manufacturing"" OR ""3D printer"" OR ""robot"") AND (""motor current"" OR ""G-code"" OR ""joint torque"")","96","96","2026-09-16",""
"L1","zenodo","q10","(drilling OR grinding OR ""additive manufacturing"" OR ""3D printer"" OR ""robot"") AND (""motor current"" OR ""G-code"" OR ""joint torque"")","ERR","0","2026-09-16",""
"L1","figshare","q10","drilling grinding additive manufacturing 3D printer robot motor current G-code joint torque","n/a","0","2026-09-16",""
"L1","openaire","q10","(drilling OR grinding OR ""additive manufacturing"" OR ""3D printer"" OR ""robot"") AND (""motor current"" OR ""G-code"" OR ""joint torque"")","ERR","0","2026-09-16",""
"L1","openaire","o01","CNC machine tool dataset","18","18","2026-09-16",""
"L1","openaire","o02","milling machine spindle current","12","12","2026-09-16",""
"L1","openaire","o03","Sinumerik","6","6","2026-09-16",""
"L1","openaire","o04","MTConnect","2","2","2026-09-16",""
"L1","openaire","o05","machine tool drive torque","5","5","2026-09-16",""
"L1","openaire","o06","tool wear milling signals","12","12","2026-09-16",""
"L1","openaire","o07","CNC energy consumption","15","15","2026-09-16",""
"L1","openaire","o08","Werkzeugmaschine","1","1","2026-09-16",""
"L1","openaire","o09","turning lathe spindle signals","0","0","2026-09-16",""
"L1","openaire","o10","feed drive ball screw","5","5","2026-09-16",""
"L2","europepmc","e01","(JOURNAL:""Data Brief"" OR JOURNAL:""Sci Data"") AND (TITLE_ABS:""CNC"" OR TITLE_ABS:""machine tool"" OR TITLE_ABS:""milling"" OR TITLE_ABS:""turning"" OR TITLE_ABS:""machining"" OR TITLE_ABS:""drilling"")","109","109","2026-09-16",""
"L2","europepmc","e02","(JOURNAL:""Data Brief"" OR JOURNAL:""Sci Data"") AND (TITLE_ABS:""spindle"" OR TITLE_ABS:""feed drive"" OR TITLE_ABS:""servo"" OR TITLE_ABS:""tool wear"")","31","31","2026-09-16",""
"L3","openalex","seed Martinez et al. 2025","cited_by 10.1038/s41597-025-05294-0","2","2","2026-09-16",""
"L3","openalex","seed Martinez et al. 2025","references 10.1038/s41597-025-05294-0","11","9","2026-09-16",""
"L3","openalex","seed Brillinger et al. 2025","cited_by 10.1016/j.dib.2025.111814","3","3","2026-09-16",""
"L3","openalex","seed Brillinger et al. 2025","references 10.1016/j.dib.2025.111814","8","6","2026-09-16",""
"L3","openalex","KIT1","cited_by 10.1016/j.dib.2025.112207","4","4","2026-09-16",""
"L3","openalex","KIT1","references 10.1016/j.dib.2025.112207","14","14","2026-09-16",""
"L3","openalex","LUH","cited_by 10.1016/j.dib.2023.109574","21","21","2026-09-16",""
"L3","openalex","LUH","references 10.1016/j.dib.2023.109574","2","2","2026-09-16",""
"L3","openalex","JOANNEUM21","cited_by 10.1016/j.dib.2021.107670","3","3","2026-09-16",""
"L3","openalex","JOANNEUM21","references 10.1016/j.dib.2021.107670","7","5","2026-09-16",""
"L3","openalex","THWS24","cited_by 10.3390/data9050066","5","5","2026-09-16",""
"L3","openalex","THWS24","references 10.3390/data9050066","3","3","2026-09-16",""
"L3","openalex","MSM","cited_by 10.1038/s41597-026-07255-7","2","2","2026-09-16",""
"L3","openalex","MU","cited_by 10.1038/s41597-025-05168-5","3","3","2026-09-16",""
"L3","openalex","MU","references 10.1038/s41597-025-05168-5","14","12","2026-09-16",""
"L1","zenodo","z01","CNC spindle","ERR","0","2026-09-16",""
"L1","zenodo","z02","""machine tool"" current","ERR","0","2026-09-16",""
"L1","zenodo","z03","milling controller","ERR","0","2026-09-16",""
"L1","zenodo","z04","Sinumerik","ERR","0","2026-09-16",""
"L1","zenodo","z05","MTConnect","ERR","0","2026-09-16",""
"L1","zenodo","z06","machining time series","ERR","0","2026-09-16",""
